Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,51,29.5,4.14,92,3503,3127,381,722,159,17,82,358,22,10,307,834,0.231,0.305,0.371,0.677,84,1161,52,35,13,17,10,660
Atlanta Braves,47,27.8,4.72,89,3327,2916,420,695,152,12,123,403,42,15,327,835,0.238,0.322,0.425,0.747,94,1240,51,42,18,24,24,589
Baltimore Orioles,47,27.1,4.09,89,3284,2973,364,704,145,8,101,352,27,10,256,791,0.237,0.302,0.393,0.695,91,1168,61,30,8,15,4,561
Boston Red Sox,37,28.2,5.1,91,3425,3090,464,799,193,10,115,435,31,13,261,788,0.259,0.322,0.439,0.761,104,1357,58,42,4,27,9,579
Chicago Cubs,49,29.3,4.2,90,3294,2911,378,660,114,16,114,361,46,21,288,870,0.227,0.305,0.394,0.7,92,1148,68,51,22,21,8,548
Chicago White Sox,40,28.3,5.12,89,3345,2917,456,751,155,17,92,428,36,17,343,786,0.257,0.341,0.417,0.757,110,1216,67,39,18,28,2,618
Cincinnati Reds,42,28.9,4.83,90,3436,3026,435,752,151,7,113,415,24,18,308,798,0.249,0.33,0.415,0.745,92,1256,75,67,17,18,11,610
Cleveland Indians,43,27.1,4.36,87,3130,2822,379,647,127,13,108,360,43,8,247,731,0.229,0.298,0.398,0.697,88,1124,63,36,11,12,11,498
Colorado Rockies,35,28.1,4.29,91,3358,3004,390,735,153,21,84,368,53,13,276,756,0.245,0.312,0.393,0.706,84,1182,48,28,29,21,17,606
Detroit Tigers,45,28.2,4.15,91,3343,2988,378,704,116,18,100,366,56,16,296,908,0.236,0.307,0.387,0.694,94,1156,56,22,11,24,5,577
Houston Astros,40,28.9,5.45,91,3538,3115,496,838,169,6,116,475,32,11,338,672,0.269,0.344,0.439,0.783,115,1367,88,38,6,40,15,639
Kansas City Royals,41,29.5,4.09,89,3263,2951,364,716,128,16,90,344,58,15,243,724,0.243,0.304,0.388,0.692,88,1146,61,27,12,23,6,571
Los Angeles Angels,46,29.8,4.89,89,3326,3014,435,774,162,10,123,414,31,11,245,766,0.257,0.319,0.44,0.759,103,1325,66,36,19,12,18,548
Los Angeles Dodgers,47,29.1,5.23,91,3538,3054,476,745,137,16,123,454,27,8,382,805,0.244,0.338,0.42,0.759,110,1283,59,64,19,19,23,676
Miami Marlins,46,29,3.97,89,3301,2961,353,691,119,14,88,334,64,18,267,866,0.233,0.302,0.372,0.674,85,1102,46,34,15,22,15,573
Milwaukee Brewers,53,28.5,4.28,92,3443,2998,394,659,132,10,109,375,47,14,351,891,0.22,0.312,0.38,0.691,87,1138,55,58,16,19,15,616
Minnesota Twins,46,28.6,4.73,89,3371,3002,421,737,148,12,129,389,31,5,300,766,0.246,0.318,0.432,0.75,110,1296,64,33,7,26,11,599
New York Mets,51,28.1,3.76,87,3064,2718,327,627,110,6,88,314,26,14,268,749,0.231,0.31,0.373,0.683,91,1013,57,50,18,10,13,556
New York Yankees,41,29.2,4.16,89,3331,2928,370,692,111,5,114,341,20,5,359,810,0.236,0.323,0.394,0.717,98,1155,87,23,6,15,7,610
Oakland Athletics,40,29.8,4.43,92,3436,3033,408,705,152,13,115,381,37,9,313,790,0.232,0.312,0.405,0.717,102,1228,54,50,11,29,8,596
Philadelphia Phillies,43,28.8,4.57,88,3313,2929,402,704,140,11,102,384,52,9,297,826,0.24,0.316,0.4,0.716,98,1172,58,37,22,26,15,588
Pittsburgh Pirates,48,28,3.54,90,3318,2972,319,694,137,13,74,302,30,12,288,731,0.234,0.306,0.363,0.669,84,1079,48,31,10,17,11,639
San Diego Padres,44,27.8,4.6,93,3505,3065,428,740,142,13,110,407,82,23,355,772,0.241,0.324,0.404,0.728,105,1238,76,35,17,29,20,636
Seattle Mariners,53,27.3,4.08,91,3286,2935,371,635,130,6,110,359,40,11,287,865,0.216,0.292,0.377,0.67,89,1107,48,36,7,19,4,533
San Francisco Giants,48,30.6,4.96,89,3374,2959,441,725,138,14,132,421,37,9,347,830,0.245,0.329,0.435,0.764,109,1287,68,30,22,15,21,598
St. Louis Cardinals,46,28.4,3.98,90,3306,2952,358,678,138,11,94,343,46,14,266,725,0.23,0.301,0.379,0.681,92,1120,51,46,21,20,20,591
Tampa Bay Rays,45,27.3,4.89,90,3446,3040,440,700,158,8,110,418,58,24,342,923,0.23,0.315,0.396,0.711,103,1204,36,43,5,15,15,607
Texas Rangers,41,27.2,4.1,90,3343,3009,369,701,109,13,107,352,55,18,269,807,0.233,0.302,0.385,0.687,89,1157,69,38,10,17,6,552
Toronto Blue Jays,49,26.6,5.1,87,3290,2973,444,784,147,7,130,422,41,13,265,720,0.264,0.327,0.449,0.776,110,1335,68,24,7,19,9,560
Washington Nationals,45,29.5,4.18,89,3264,2908,372,737,136,9,97,355,39,18,273,743,0.253,0.325,0.406,0.731,107,1182,76,42,23,16,16,605
League Average,43,28.5,4.47,90,3350,2976,401,715,140,12,106,381,41,13,299,796,0.24,0.316,0.403,0.718,97,1198,61,39,14,21,12,591
,1294,28.5,4.47,2694,100501,89290,12033,21451,4208,352,3193,11430,1233,402,8964,23878,0.24,0.316,0.403,0.718,97,35942,1834,1167,424,615,369,17739
